smiles,value,log_value,init_value
C[C@@H](C(=O)O)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3ccc(=O)n(-c4c(Cl)cccc4Cl)c3c2)CC1,0.44,-0.8209805520698302,0.3253370292971182
CSc1ccc(S(=O)(=O)C[C@@H]2CCCC[C@H]2C(=O)NCC#N)cc1,0.08333,-2.4849466505880216,0.07641216031318666
N#CCNC(=O)[C@@H]1CCCC[C@H]1c1ccccc1-c1ccc(F)cc1,0.75,-0.2876820724517809,0.40511705263201164
N#CCNC(=O)[C@@H]1CCCC[C@H]1CS(=O)(=O)c1ccc(OC(F)(F)F)cc1,0.3333,-1.098712293668443,0.28378910506255606
CSc1ccc(-c2ccccc2[C@@H]2CCCC[C@H]2C(=O)NCC#N)cc1,0.7333,-0.3102003838823833,0.40174837359005655
COC(=O)c1ccccc1-c1ccc(CNc2ncccc2NC(=O)CC(F)(F)F)cc1,0.15,-1.8971199848858813,0.16434945415317107
CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21,0.6067,-0.4997208440338849,0.37339662065771084
Cc1cc(-c2nncc3c(C(C)(C)C)c(OCc4ncnn4C)nn23)no1,0.5,-0.6931471805599453,0.34446055908730433
CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1,0.83,-0.18632957819149348,0.42027911415321934
O=C(O)C[C@H](Cc1nc(CCCCNc2cc(N3CCSCC3)ccn2)no1)c1ccc2c(c1)OCO2,0.4,-0.916290731874155,0.3110788818253913
CN1CCNc2nc(CCCc3noc(CC(CC(=O)O)c4ccc5c(c4)OCO5)n3)ccc21,0.93,-0.07257069283483537,0.43729713853387325
CCCC[C@@H](/C=N/NC(=O)N1CCCC1)NC(=O)OC(C)(C)C,0.3,-1.2039728043259361,0.2680424147616348
CCCC[C@@H](/C=N/NC(=O)N1CCOCC1)NC(=O)O[C@@H](C)Cc1ccccc1,0.15,-1.8971199848858813,0.16434945415317107
CCCC[C@@H](/C=N/NS(=O)(=O)N(C)C)NC(=O)OC(C)(C)C,0.65,-0.4307829160924542,0.383709549927199
CCCC[C@@H](/C=N/NC(=O)N1CCc2ccccc21)NC(=O)OC(C)(C)C,0.1667,-1.7915594892253888,0.18014102140659471
CCCC[C@@H](/C=N/NC(=O)N1CCOCC1)NC(=O)OC(C)(C)C,0.3667,-1.0032112039048566,0.29807581215255846
