smiles,auc,cl,vdss,t1_2,log_auc_value,log_cl_value,log_vdss_value,log_t1_2_value,k1,k2,k3
COc1cnc2cccc([C@@H](O)[C@H](O)[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1,313.0,53.0,18.0,5.9,5.746203190540153,3.970291913552122,2.8903717578961645,1.7749523509116738,16589.0,954.915254237288,17.372222222222224
Cl.O=C(Nc1ccc(N2C(=O)CC3(CCCCC3)C2=O)c(Cl)c1)c1ccccn1,346.0,48.3,5.5,1.563,5.846438775057725,3.877431560658527,1.7047480922384253,0.44660705143933954,16711.8,1217.530390275112,13.725981818181817
C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2CC2CC2)c2ccccc12)C(F)(F)F,415.0,40.7,29.5,10.2,6.028278520230698,3.7062280924485496,3.3843902633457743,2.322387720290225,16890.5,1200.2450980392157,14.072542372881356
C[C@H](O)[C@@H](CCc1cccc(C(F)(F)F)c1)n1cnc(C(N)=O)c1,484.6928600000001,33.3,2.0,0.94,6.183515411981536,3.505557396986398,0.6931471805599453,-0.06187540371808753,16140.272238,1031.2614042553191,15.650999999999998
C=C1C(=O)O[C@H]2c3c(C)c(OCc4ccccc4Br)cc(C)c3CC[C@@H]12,408.0,41.33,6.26,1.76,6.0112671744041615,3.721588628523641,1.8341801851120072,0.5653138090500605,16862.64,1451.1818181818182,11.61993610223642
N#CN[C@H]1CCc2ccc(-c3ncnc4[nH]ccc34)cc21,488.0,36.0,0.35,0.27,6.1903154058531475,3.58351893845611,-1.0498221244986778,-1.3093333199837622,17568.0,632.5925925925925,27.771428571428576
Cc1nc(C)n(-c2ccc(NC(=O)C3CCN(c4ncccc4[N+](=O)[O-])CC3)cc2Cl)n1,416.6980840000001,43.0,1.1,0.5,6.032361940385679,3.7612001156935624,0.09531017980432493,-0.6931471805599453,17918.017612000003,916.7357848000004,19.545454545454543
O=C(Nc1ccc(-c2ccncc2)c(-c2ccccn2)n1)C1CC1,485.0,35.0,1.0,0.5,6.184148890937483,3.5553480614894135,0.0,-0.6931471805599453,16975.0,970.0,17.5
CN1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCS(=O)(=O)CC6)c(F)c5)c4n3)cn2)CC1,429.1431200000001,39.0,13.2,4.8,6.061790476345169,3.6635616461296463,2.580216829592325,1.5686159179138452,16736.581680000007,1180.1435800000004,14.181818181818182
CCN(C(=O)CN(c1cc(N(C)C)ccc1Cl)S(=O)(=O)c1ccc(OC)c(OC)c1)c1cccc(C)n1,434.0,38.0,1.7,0.5,6.073044534100405,3.6375861597263857,0.5306282510621704,-0.6931471805599453,16492.0,1475.6,11.176470588235295
Cc1ccc(S(=O)(=O)n2ccc(NC(=O)c3ccccn3)c2)cc1C,447.5,37.2,5.5,4.2,6.10367653771491,3.616308761279101,1.7047480922384253,1.4350845252893227,16647.0,586.0119047619047,28.40727272727273
O=C(NOCCO)c1ccc2[nH]ncc2c1Nc1ccc(I)cc1F,460.7771500000001,36.0,2.4,1.4,6.132914520478561,3.58351893845611,0.8754687373538999,0.3364722366212129,16587.977400000003,789.903685714286,21.0
CN(C)CCn1cc(-c2ccn3c(-c4ccc(C(N)=O)c(OCc5ccccc5)c4)cnc3c2)cn1,405.0,42.4,4.06,2.42,6.003887067106539,3.7471483622379123,1.4011829736136412,0.883767540168595,17172.0,679.4628099173553,25.272906403940887
COc1cc(C(F)(F)F)cc([C@H]2OC(=O)N(C(=O)NCc3cncc4cccnc34)[C@H]2CO)n1,453.5290500000002,36.8,1.2,0.48,6.117059324835472,3.6054978451748854,0.1823215567939546,-0.7339691750802004,16689.869040000005,1133.8226250000005,14.72
Cc1noc(C)c1-c1cc2c(c3c1CCC3)NC(C)(C)C(=O)C2(C)C,460.0,37.12,6.131,3.2,6.131226489483141,3.6141559079179997,1.813357868780551,1.1631508098056809,17075.199999999997,881.3312500000001,19.37432718969173
O=C(Nc1nc2cccc(-c3ccc(CN4CCOCC4)cc3)n2n1)C1CC1,470.0,35.33,1.46,0.74,6.152732694704104,3.5647324613710536,0.37843643572024505,-0.3011050927839216,16605.1,927.2972972972972,17.906986301369862
